Model,MAE,RMSE,R²
Linear Regression,40.64988919416202,67.03596379737506,0.6716572215877588
Decision Tree,24.75588354095886,55.92295471718403,0.7714969652294412
Random Forest,21.27928921328803,46.22842103284985,0.8438543559335223
Gradient Boosting,30.283243062430966,52.961186111102805,0.7950597983434942
